http://www.lgpn.ox.ac.uk/id/,http://www.trismegistos.org/person/
http://viaf.org/viaf/41988155/
V3b-11244,8234,
V3b-11529,36070,
V3b-11670,19605,
V3b-12281,9402,
V3b-12649,9713,
V3b-12649,9714,
V3b-12652,9715,
V3b-13658,16577,
V3b-14204,10342,
V3b-14323,10372,
V3b-14732,10549,
V3b-14831,36096,
V3b-14906,37123,
V3b-16570,12616,
V3b-17668,13793,
V3b-18004,14227,
V3b-18005,36024,
V3b-18055,19306,
V3b-18369,3857,
V3b-18586,14648,
V3b-18947,14783,
V3b-20830,10476,
V3b-20843,4759,
V3b-21277,5032,
V3b-22856,6593,
V3b-22867,6596,
V3b-23239,6780,
V3b-26259,8225,
V3b-26839,8652,
V3b-28932,9663,
V3b-30479,10435,
V3b-33699,12851,
V3b-34560,19045,
V3b-35451,14354,
V3b-35737,14563,
V4-2613,5858,
V4-3493,6615,
V4-4432,6868,
V4-5301,19299,
V4-5302,7275,
V4-5539,7485,
V4-6773,8284,
V4-11114,10972,
V4-11367,11475,
V4-13025,13862,
V4-13752,14708,
V4-13828,14784,
V4-24967,798,
V4-25280,36039,
V4-25352,5170,
V4-25500,5322,
V4-25803,6123,
V4-25804,6124,
V4-25805,6125,
V4-25807,6118,
V4-26329,6641,
V4-26330,6645,
V4-26331,6642,
V4-26332,6646,
V4-26334,9756,
V4-26335,6648,
V4-26409,1257,
V4-26727,6784,
V4-27775,7696,
V4-28092,8072,
V4-28093,8071,
V4-28498,16456,
V4-29403,2059,
V4-29750,9548,
V4-29979,9710,
V4-30116,9764,
V4-30117,9765,
V4-30454,9941,
V4-30498,9963,
V4-30837,10116,
V4-30880,10145,
V4-31203,10312,
V4-31347,10359,
V4-32464,11158,
V4-32867,11879,
V4-33358,12908,
V4-33359,12794,
V4-33440,12833,
V4-33708,3462,
V4-34588,14399,
V4-34832,14599,
V4-35096,14774,
V4-37175,4620,
V4-37178,12552,
V4-37180,8860,
V4-44001,5664,
V4-44002,7648,
V4-44003,10114,
V4-44007,4595,
V5a-1587,36087,
V5a-5495,18507,
V5a-6879,9626,
V5a-10044,4398,
V5a-10985,5187,
V5a-13318,6930,
V5a-13912,7290,
V5a-14782,8121,
V5a-15431,8721,
V5a-18644,10604,
V5a-19770,12720,
V5a-20310,13717,
V5a-23371,17139,
V5a-39026,7835,
V5a-39063,8274,
V5a-39125,5151,
V5a-39203,9029,
